name,description,instructions,cookingTime,category,ingredients
Paneer Butter Masala,Creamy paneer curry with tomato and butter.,"Cook onion and tomato with spices. Blend into a smooth gravy. Add paneer, butter and cream. Simmer until cooked.",35,VEG,paneer|tomato|onion|butter|cream|garam masala
Palak Paneer,Paneer cooked in a creamy spinach gravy.,"Blanch spinach and blend. Cook onion, tomato and spices. Add spinach and paneer. Simmer with cream.",30,VEG,paneer|spinach|tomato|onion|cream|garam masala
Kadai Paneer,Spicy paneer cooked with capsicum and tomato.,"Saute onion, capsicum and tomato with spices. Add paneer and kadai masala. Cook until tender.",30,VEG,paneer|capsicum|tomato|onion|kadai masala
Shahi Paneer,Rich paneer curry with a mildly sweet gravy.,"Cook onion, tomato, cashews and spices. Blend smoothly. Add paneer and cream and simmer.",35,VEG,paneer|onion|tomato|cashew|cream|garam masala
Matar Paneer,Paneer and peas cooked in tomato gravy.,Cook onion and tomato with spices. Add peas and cook until tender. Add paneer and simmer.,30,VEG,paneer|peas|tomato|onion|garam masala
Chana Masala,Spicy chickpea curry with tomato and onion.,"Cook onion, tomato and spices. Add boiled chickpeas and water. Simmer until the gravy thickens.",35,VEG,chickpeas|tomato|onion|ginger|garlic|cumin
Rajma Masala,Kidney beans cooked in a spiced tomato gravy.,"Cook onion, tomato and spices. Add boiled kidney beans and water. Simmer until thick.",45,VEG,kidney beans|tomato|onion|ginger|garlic|cumin
Dal Tadka,Yellow lentils finished with a fragrant tempering.,"Cook lentils until soft. Fry cumin, garlic, onion and spices in oil. Pour the tempering over dal.",30,VEG,lentils|onion|garlic|cumin|tomato|turmeric
Dal Makhani,Creamy black lentils slow-cooked with spices.,"Cook soaked black lentils until soft. Add tomato, butter and spices. Simmer and finish with cream.",60,VEG,black lentils|kidney beans|tomato|butter|cream|garlic
Aloo Gobi,Potatoes and cauliflower cooked with Indian spices.,"Saute cumin, onion and spices. Add potato and cauliflower. Cover and cook until tender.",30,VEG,potato|cauliflower|onion|cumin|turmeric|garam masala
Aloo Jeera,Simple cumin-flavored potato fry.,"Heat oil with cumin. Add potatoes, turmeric and spices. Fry until golden and cooked.",20,VEG,potato|cumin|turmeric|green chili|coriander
Bhindi Masala,Okra cooked with onion and tomato.,Fry sliced okra until lightly crisp. Cook onion and tomato with spices. Combine and cook briefly.,25,VEG,okra|onion|tomato|cumin|turmeric|garam masala
Baingan Bharta,Roasted eggplant mashed with onion and tomato.,"Roast eggplant until soft. Peel and mash it. Cook with onion, tomato and spices.",40,VEG,eggplant|onion|tomato|garlic|green chili|coriander
Mixed Vegetable Curry,Mixed vegetables cooked in a spiced gravy.,Saute onion and tomato with spices. Add mixed vegetables and water. Cover and cook until tender.,30,VEG,carrot|peas|potato|beans|tomato|onion
Vegetable Korma,Mixed vegetables in a creamy nut-based gravy.,Cook vegetables until tender. Blend cashews with spices. Combine with vegetables and cream.,40,VEG,carrot|peas|potato|beans|cashew|cream
Malai Kofta,Vegetable and paneer dumplings in creamy gravy.,Make paneer-potato balls and fry. Prepare a tomato-cashew gravy. Add koftas before serving.,45,VEG,paneer|potato|tomato|cashew|cream|onion
Mushroom Masala,Mushrooms cooked with onion and tomato spices.,"Saute mushrooms. Cook onion, tomato and spices separately. Combine and simmer.",25,VEG,mushroom|onion|tomato|ginger|garlic|garam masala
Matar Mushroom,Mushrooms and green peas in tomato gravy.,Cook onion and tomato with spices. Add mushrooms and peas. Simmer until tender.,30,VEG,mushroom|peas|tomato|onion|garlic|cumin
Corn Palak,Sweet corn cooked in spinach gravy.,Blanch and blend spinach. Cook onion and spices. Add corn and spinach puree and simmer.,25,VEG,corn|spinach|onion|tomato|garlic|cream
Karela Fry,Crispy bitter gourd slices with spices.,Slice and salt bitter gourd. Fry with onion and spices until crisp.,25,VEG,bitter gourd|onion|turmeric|chili powder|cumin
Cabbage Poriyal,South Indian cabbage stir-fry with coconut.,Saute mustard seeds and curry leaves. Add cabbage and turmeric. Cook and finish with coconut.,20,VEG,cabbage|coconut|mustard seeds|curry leaves|green chili
Beans Poriyal,Green beans tempered with mustard and coconut.,Saute mustard seeds and curry leaves. Add beans and turmeric. Cook until tender and add coconut.,20,VEG,green beans|coconut|mustard seeds|curry leaves|turmeric
Carrot Poriyal,Carrots stir-fried with coconut and spices.,Temper mustard seeds and curry leaves. Add chopped carrots and turmeric. Cook until tender and add coconut.,20,VEG,carrot|coconut|mustard seeds|curry leaves|turmeric
Avial,Mixed vegetables cooked with coconut and yogurt.,Cook mixed vegetables with turmeric. Grind coconut and green chili. Mix with yogurt and simmer gently.,35,VEG,carrot|beans|drumstick|potato|coconut|yogurt
Vegetable Sambar,Lentil and vegetable stew with tamarind.,Cook dal and vegetables. Add sambar powder and tamarind. Simmer and temper with mustard and curry leaves.,40,VEG,lentils|carrot|drumstick|tomato|tamarind|sambar powder
Rasam,Tangy South Indian soup with tomato and spices.,Cook tomato with tamarind and spices. Add rasam powder and water. Simmer and temper with mustard and curry leaves.,20,VEG,tomato|tamarind|rasam powder|cumin|mustard seeds|curry leaves
Lemon Rice,"Rice tossed with lemon, peanuts and tempering.","Cook rice and cool slightly. Temper mustard, peanuts, curry leaves and chili. Add rice and lemon juice.",20,VEG,rice|lemon|peanuts|mustard seeds|curry leaves|green chili
Tamarind Rice,Tangy rice mixed with tamarind and spices.,Prepare tamarind spice paste. Mix with cooked rice and tempering. Rest briefly before serving.,30,VEG,rice|tamarind|peanuts|sesame seeds|curry leaves|chili
Curd Rice,Cooling rice mixed with yogurt and tempering.,"Mix cooked rice with yogurt and salt. Temper mustard, curry leaves and chili. Stir into rice.",15,VEG,rice|yogurt|mustard seeds|curry leaves|ginger|green chili
